datum,vrijeme_pocetka,zavrsetak,trajanje
2021-06-14,08:00:00,10:00:00,2:00:00
2021-06-14,11:00:00,13:00:00,2:00:00
2021-06-14,13:00:00,15:00:00,2:00:00
2021-06-14,17:00:00,19:00:00,2:00:00
2021-06-15,09:00:00,10:30:00,1:30:00
2021-06-15,10:30:00,12:00:00,1:30:00
2021-06-15,14:00:00,16:00:00,2:00:00
2021-06-15,17:00:00,19:00:00,2:00:00
2021-06-16,09:00:00,11:00:00,2:00:00
2021-06-17,09:00:00,13:00:00,4:00:00
2021-06-17,09:00:00,13:00:00,4:00:00
2021-06-17,14:00:00,16:00:00,2:00:00
2021-06-18,08:00:00,10:00:00,2:00:00
