id,datum,vrijeme_pocetka,zavrsetak,trajanje,broj_ucionce_fk_id,naziv_kolegija_id,studij_fk_id
0,2021-06-14,08:00:00,10:00:00,2:00:00,2,4,1
1,2021-06-14,11:00:00,13:00:00,2:00:00,2,5,1
2,2021-06-14,13:00:00,15:00:00,2:00:00,2,5,1
3,2021-06-14,17:00:00,19:00:00,2:00:00,3,3,1
4,2021-06-15,09:00:00,10:30:00,1:30:00,3,3,1
5,2021-06-15,10:30:00,12:00:00,1:30:00,3,3,1
6,2021-06-15,14:00:00,16:00:00,2:00:00,2,4,1
7,2021-06-15,17:00:00,19:00:00,2:00:00,3,3,1
8,2021-06-16,09:00:00,11:00:00,2:00:00,2,2,1
9,2021-06-17,09:00:00,13:00:00,4:00:00,4,6,1
10,2021-06-17,09:00:00,13:00:00,4:00:00,2,6,1
11,2021-06-17,14:00:00,16:00:00,2:00:00,2,4,1
12,2021-06-18,08:00:00,10:00:00,2:00:00,2,4,1
